date,OT,dgs1mo,dbaa,t5yifr
2020-11-24,12036.79004,0.08,3.19,1.83
2020-11-25,12094.40039,0.07,3.2,1.83
2020-11-27,12205.84961,0.09,3.16,1.83
2020-11-30,12198.74023,0.08,3.13,1.86
2020-12-01,12355.11035,0.07,3.2,1.9
2020-12-02,12349.37012,0.07,3.19,1.94
2020-12-03,12377.17969,0.08,3.15,1.94
2020-12-04,12464.23047,0.07,3.2,1.95
2020-12-07,12519.9502,0.09,3.16,1.92
2020-12-08,12582.76953,0.08,3.14,1.94
2020-12-09,12338.9502,0.07,3.19,1.98
2020-12-10,12405.80957,0.07,3.14,1.93
2020-12-11,12377.87012,0.08,3.13,1.92
2020-12-14,12440.04004,0.07,3.14,1.92
2020-12-15,12595.05957,0.07,3.18,1.96
2020-12-16,12658.19043,0.08,3.17,1.94
2020-12-17,12764.75,0.08,3.17,1.98
2020-12-18,12755.63965,0.08,3.19,1.98
2020-12-21,12742.51953,0.08,3.18,2.0
2020-12-22,12807.91992,0.07,3.15,1.96
2020-12-23,12771.11035,0.07,3.2,2.01
2020-12-24,12804.73047,0.09,3.17,2.02
2020-12-28,12899.41992,0.09,3.16,2.02
2020-12-29,12850.21973,0.08,3.16,2.02
2020-12-30,12870.0,0.06,3.13,2.0
2020-12-31,12888.28027,0.08,3.11,2.03
2021-01-04,12698.4502,0.09,3.12,2.04
2021-01-05,12818.95996,0.08,3.19,2.05
2021-01-06,12740.79004,0.09,3.31,2.08
2021-01-07,13067.48047,0.09,3.31,2.09
2021-01-08,13201.98047,0.08,3.32,2.05
2021-01-11,13036.42969,0.09,3.3,2.08
2021-01-12,13072.42969,0.09,3.31,2.1
2021-01-13,13128.9502,0.09,3.23,2.08
2021-01-14,13112.63965,0.09,3.27,2.09
2021-01-15,12998.5,0.08,3.24,2.11
2021-01-19,13197.17969,0.07,3.21,2.08
2021-01-20,13457.25,0.08,3.21,2.09
2021-01-21,13530.91016,0.07,3.24,2.02
2021-01-22,13543.05957,0.07,3.24,2.02
2021-01-25,13635.99023,0.07,3.2,2.01
2021-01-26,13626.05957,0.05,3.21,2.01
2021-01-27,13270.59961,0.05,3.2,2.01
2021-01-28,13337.16016,0.05,3.24,2.08
2021-01-29,13070.69043,0.07,3.28,2.05
2021-02-01,13403.38965,0.06,3.28,2.04
2021-02-02,13612.78027,0.04,3.3,2.07
2021-02-03,13610.54004,0.03,3.32,2.11
2021-02-04,13777.74023,0.03,3.34,2.09
2021-02-05,13856.29981,0.02,3.37,2.14
2021-02-08,13987.63965,0.04,3.33,2.13
2021-02-09,14007.7002,0.04,3.33,2.13
