date,OT,closeshort
2021-07-14,14644.9502,68.0
2021-07-15,14543.12988,65.0
2021-07-16,14427.24023,66.0
2021-07-19,14274.98047,65.0
2021-07-20,14498.87988,66.0
2021-07-21,14631.9502,64.0
2021-07-22,14684.59961,69.0
2021-07-23,14836.99023,72.0
2021-07-26,14840.70996,68.0
2021-07-27,14660.58008,57.0
2021-07-28,14762.58008,62.0
2021-07-29,14778.25977,62.0
2021-07-30,14672.67969,66.0
2021-08-02,14681.07031,65.0
2021-08-03,14761.29004,68.0
2021-08-04,14780.53027,69.0
2021-08-05,14895.12012,71.0
2021-08-06,14835.75977,70.0
2021-08-09,14860.17969,69.0
2021-08-10,14788.08984,61.0
2021-08-11,14765.13965,60.0
2021-08-12,14816.25977,63.0
2021-08-13,14822.90039,66.0
2021-08-16,14793.75977,67.0
2021-08-17,14656.17969,62.0
2021-08-18,14525.91016,59.0
2021-08-19,14541.79004,64.0
2021-08-20,14714.66016,71.0
2021-08-23,14942.65039,75.0
2021-08-24,15019.79981,75.0
2021-08-25,15041.86035,73.0
2021-08-26,14945.80957,71.0
2021-08-27,15129.5,74.0
2021-08-30,15265.88965,75.0
2021-08-31,15259.24023,73.0
2021-09-01,15309.37988,74.0
2021-09-02,15331.17969,72.0
2021-09-03,15363.51953,71.0
2021-09-07,15374.33008,71.0
2021-09-08,15286.63965,70.0
2021-09-09,15248.25,68.0
2021-09-10,15115.49023,66.0
2021-09-13,15105.58008,63.0
2021-09-14,15037.75977,60.0
2021-09-15,15161.53027,65.0
2021-09-16,15181.91992,65.0
2021-09-17,15043.96973,57.0
2021-09-20,14713.90039,55.0
2021-09-21,14746.40039,54.0
2021-09-22,14896.84961,53.0
2021-09-23,15052.24023,55.0
2021-09-24,15047.7002,56.0
2021-09-27,14969.96973,53.0
2021-09-28,14546.67969,42.0
2021-09-29,14512.44043,43.0
2021-09-30,14448.58008,42.0
2021-10-01,14566.7002,44.0
2021-10-04,14255.48047,35.0
2021-10-05,14433.83008,40.0
2021-10-06,14501.91016,42.0
2021-10-07,14654.01953,48.0
2021-10-08,14579.54004,45.0
2021-10-12,14465.91992,38.0
2021-10-13,14571.63965,39.0
2021-10-14,14823.42969,46.0
2021-10-15,14897.33984,45.0
2021-10-18,15021.80957,50.0
2021-10-19,15129.08984,51.0
2021-10-20,15121.67969,52.0
2021-10-21,15215.7002,53.0
2021-10-22,15090.2002,51.0
2021-10-25,15226.70996,57.0
2021-10-26,15235.70996,57.0
2021-10-27,15235.83984,62.0
2021-10-28,15448.12012,62.0
2021-10-29,15498.38965,68.0
2021-11-01,15595.91992,66.0
2021-11-02,15649.59961,64.0
2021-11-03,15811.58008,66.0
2021-11-04,15940.30957,68.0
2021-11-05,15971.58984,68.0
2021-11-08,15982.36035,63.0
2021-11-09,15886.54004,60.0
2021-11-10,15622.70996,58.0
2021-11-12,15860.95996,60.0
2021-11-15,15853.84961,59.0
2021-11-16,15973.86035,59.0
2021-11-17,15921.57031,61.0
2021-11-18,15993.70996,67.0
2021-11-19,16057.44043,68.0
2021-11-22,15854.75977,63.0
2021-11-23,15775.13965,57.0
2021-11-24,15845.23047,56.0
2021-11-26,15491.66016,57.0
2021-11-29,15782.83008,60.0
2021-11-30,15537.69043,59.0
2021-12-01,15254.04981,51.0
2021-12-02,15381.32031,54.0
2021-12-03,15085.46973,42.0
2021-12-06,15225.15039,45.0
2021-12-07,15686.91992,57.0
2021-12-08,15786.99023,55.0
2021-12-09,15517.37012,48.0
2021-12-10,15630.59961,51.0
2021-12-13,15413.28027,45.0
2021-12-14,15237.63965,43.0
2021-12-15,15565.58008,49.0
2021-12-16,15180.42969,36.0
2021-12-17,15169.67969,38.0
2021-12-20,14980.94043,35.0
2021-12-21,15341.08984,42.0
2021-12-22,15521.88965,47.0
2021-12-23,15653.37012,50.0
2021-12-27,15871.25977,56.0
2021-12-28,15781.71973,56.0
2021-12-29,15766.21973,55.0
2021-12-30,15741.55957,54.0
2022-01-03,15832.79981,53.0
2022-01-04,15622.71973,43.0
2022-01-05,15100.16992,36.0
2022-01-06,15080.86035,36.0
2022-01-07,14935.90039,33.0
2022-01-10,14942.83008,35.0
2022-01-11,15153.4502,38.0
2022-01-12,15188.38965,39.0
2022-01-13,14806.80957,32.0
2022-01-14,14893.75,35.0
2022-01-18,14506.90039,33.0
2022-01-19,14340.25977,34.0
2022-01-20,14154.01953,31.0
2022-01-21,13768.91992,26.0
2022-01-24,13855.12988,29.0
2022-01-25,13539.29004,23.0
2022-01-26,13542.12012,25.0
2022-01-27,13352.78027,25.0
2022-01-28,13770.57031,32.0
2022-01-31,14239.87988,39.0
2022-02-01,14346.0,40.0
2022-02-02,14417.54981,38.0
2022-02-03,13878.82031,37.0
2022-02-04,14098.00977,38.0
2022-02-07,14015.66992,35.0
2022-02-08,14194.4502,39.0
2022-02-09,14490.37012,43.0
2022-02-10,14185.63965,38.0
2022-02-11,13791.15039,33.0
2022-02-14,13790.91992,37.0
2022-02-15,14139.75977,39.0
2022-02-16,14124.08984,38.0
2022-02-17,13716.71973,32.0
2022-02-18,13548.07031,29.0
2022-02-22,13381.51953,36.0
2022-02-23,13037.49023,30.0
2022-02-24,13473.58984,44.0
2022-02-25,13694.62012,43.0
2022-02-28,13751.40039,42.0
2022-03-01,13532.45996,38.0
2022-03-02,13752.01953,41.0
2022-03-03,13537.94043,36.0
2022-03-04,13313.44043,35.0
2022-03-07,12830.95996,31.0
2022-03-08,12795.54981,28.0
2022-03-09,13255.54981,37.0
2022-03-10,13129.95996,33.0
2022-03-11,12843.80957,29.0
2022-03-14,12581.21973,24.0
2022-03-15,12948.62012,36.0
2022-03-16,13436.54981,41.0
2022-03-17,13614.78027,42.0
2022-03-18,13893.83984,48.0
2022-03-21,13838.45996,49.0
2022-03-22,14108.82031,52.0
2022-03-23,13922.59961,47.0
2022-03-24,14191.83984,53.0
2022-03-25,14169.29981,51.0
2022-03-28,14354.90039,55.0
2022-03-29,14619.63965,57.0
2022-03-30,14442.26953,54.0
2022-03-31,14220.51953,52.0
2022-04-01,14261.5,50.0
2022-04-04,14532.54981,56.0
2022-04-05,14204.16992,47.0
2022-04-06,13888.82031,40.0
2022-04-07,13897.29981,43.0
2022-04-08,13711.0,39.0
2022-04-11,13411.95996,35.0
2022-04-12,13371.57031,35.0
2022-04-13,13643.58984,40.0
2022-04-14,13351.08008,31.0
2022-04-18,13332.36035,34.0
2022-04-19,13619.66016,37.0
2022-04-20,13453.07031,33.0
2022-04-21,13174.65039,30.0
2022-04-22,12839.29004,29.0
2022-04-25,13004.84961,32.0
2022-04-26,12490.74023,25.0
2022-04-27,12488.92969,32.0
2022-04-28,12871.53027,32.0
